date,prize_1st,prize_pre_3digit,prize_sub_3digits,prize_2digits,nearby_1st,prize_2nd,prize_3rd,prize_4th,prize_5th
2024-04-01,803481,"['122', '809']","['559', '947']",90,"['803480', '803482']","['007558', '067061', '538699', '835772', '907492']","['242227', '242784', '381276', '606987', '709667', '848355', '851206', '894038', '950406', '996526']","['007438', '018965', '043174', '085992', '098288', '113573', '117164', '119156', '126515', '140765', '142436', '198864', '207231', '232022', '251486', '257965', '296519', '298199', '317178', '428044', '432258', '448975', '469451', '489817', '495395', '497986', '513767', '536203', '561189', '563022', '583983', '604221', '609946', '628028', '628637', '637017', '656650', '659412', '681369', '703400', '706750', '716289', '727711', '744487', '786846', '824960', '966683', '983847', '987777', '993776']","['569209', '950123', '448930', '124075', '454736', '902940', '860794', '383374', '620277', '197770', '136965', '346850', '693658', '969410', '444341', '657386', '254077', '660840', '559366', '790587', '807097', '618464', '957599', '481652', '049995', '071077', '266895', '030651', '731380', '247024', '138019', '431669', '904472', '825033', '009510', '343526', '270061', '246067', '557468', '431882', '977076', '638147', '299275', '735524', '350356', '815118', '548896', '108756', '092432', '886369', '446933', '055465', '314059', '337627', '304267', '174839', '218821', '288394', '728738', '516433', '993272', '591279', '054969', '039746', '345065', '861285', '110887', '017029', '134947', '255946', '954691', '032408', '442182', '287751', '005149', '349559', '063298', '474572', '734763', '186133', '867535', '323717', '663977', '763105', '190484', '190914', '604460', '845091', '821216', '430409', '751191', '077852', '066456', '592785', '258560', '219484', '944425', '932440', '912914', '368343']"
2024-03-16,997626,"['571', '509']","['794', '329']",78,"['997625', '997627']","['158908', '485546', '485642', '631001', '897694']","['105303', '238160', '322578', '421546', '620048', '669775', '696050', '826842', '935199', '951264']","['000341', '082645', '236153', '343639', '411596', '465714', '582288', '657195', '758395', '830148', '018003', '118769', '246073', '363379', '429726', '511125', '611287', '667327', '766185', '835813', '024292', '186506', '258455', '369148', '431579', '531222', '621447', '701512', '766682', '836291', '051048', '194519', '281788', '381682', '434148', '535126', '636604', '716354', '788574', '941507', '069735', '229005', '323851', '382805', '447454', '542218', '656833', '720975', '791580', '990089']","['001197', '086935', '212559', '270058', '366058', '478627', '574568', '712705', '790445', '926111', '007809', '089496', '229601', '281316', '372430', '483750', '580053', '726226', '793922', '929805', '022080', '111550', '241656', '291923', '372465', '494870', '613167', '733185', '803122', '937154', '061993', '123872', '250163', '305480', '382576', '505629', '615908', '754334', '827733', '941330', '067668', '124680', '253377', '321698', '384858', '512054', '638069', '763641', '834119', '942827', '072364', '132215', '256562', '341652', '392798', '528251', '640404', '765794', '843878', '943540', '074037', '152229', '257097', '346588', '405975', '530904', '668676', '769325', '894675', '950507', '074356', '155537', '259872', '349703', '414317', '538263', '703954', '777286', '897221', '952154', '075430', '197338', '263497', '351806', '421006', '554182', '706515', '779577', '898338', '979750', '077241', '208031', '269609', '359981', '427954', '570696', '711328', '779987', '912304', '981529']"
2024-03-01,253603,"['900', '975']","['382', '703']",79,"['253602', '253604']","['286578', '329008', '629052', '883154', '916831']","['056295', '079194', '125604', '224148', '336549', '544094', '587666', '619022', '696224', '741595']","['015041', '132070', '236305', '325196', '494061', '664413', '699980', '738961', '823052', '887183', '021044', '136841', '267511', '412827', '502624', '680314', '700897', '771338', '824219', '914093', '063059', '158994', '276157', '429032', '593091', '685438', '701004', '773783', '853578', '961273', '080910', '160137', '289497', '429117', '596850', '689167', '712724', '787548', '854476', '981305', '109194', '229788', '307823', '492492', '613975', '697629', '732775', '794689', '866816', '992232']","['001973', '095780', '187645', '262372', '388991', '488751', '606961', '739921', '794350', '943345', '022732', '101722', '193138', '279682', '403364', '499583', '680988', '740687', '796763', '947024', '026305', '133450', '204601', '283585', '411380', '515618', '689385', '756780', '800658', '950089', '038241', '140673', '206636', '310154', '414872', '516340', '700340', '765909', '804122', '960799', '039430', '142461', '210027', '320599', '421588', '524889', '708321', '770249', '862026', '961854', '041914', '159677', '217436', '323297', '427431', '562203', '712999', '772218', '864583', '976534', '071425', '161258', '222183', '328516', '438533', '571973', '713966', '776597', '898832', '985179', '071820', '175354', '237690', '354731', '439241', '576070', '731758', '784599', '929510', '985962', '077730', '181003', '240531', '375111', '452634', '579820', '734180', '786791', '936195', '986196', '080391', '181477', '251627', '383414', '484976', '581380', '737691', '787456', '938033', '998450']"
2024-02-16,941395,"['056', '330']","['587', '375']",43,"['941394', '941396']","['211823', '373681', '796338', '113367', '496441']","['936126', '460139', '134889', '552114', '042623', '843088', '278597', '443451', '487983', '381382']","['385067', '752257', '500392', '374357', '914215', '539332', '612090', '756050', '290149', '763978', '301175', '727557', '644916', '075236', '310055', '363420', '981752', '301276', '836608', '044458', '832234', '637827', '889886', '633434', '125127', '119756', '500829', '438338', '366476', '038359', '777366', '563369', '084081', '389775', '188306', '039220', '660302', '426909', '181834', '815554', '549309', '808757', '555748', '947702', '911101', '802581', '456575', '656500', '226954', '889033']","['035736', '019328', '818287', '193192', '014671', '095947', '233423', '711151', '446339', '181917', '306001', '657274', '996047', '277050', '795971', '143793', '611073', '520537', '374810', '574692', '189393', '584252', '922417', '543667', '152190', '584863', '700313', '005617', '146868', '387206', '188188', '255988', '175113', '361557', '850980', '133453', '041950', '241143', '406936', '517656', '736154', '510381', '594938', '243949', '663612', '456150', '412996', '300048', '113391', '770452', '278567', '471303', '625515', '612374', '164740', '960902', '904426', '461672', '479387', '703034', '503711', '995054', '937938', '033577', '302352', '533774', '254855', '647570', '002860', '162860', '179639', '965175', '332488', '884007', '219226', '748606', '248303', '604482', '008370', '245048', '770386', '121121', '986008', '983366', '571133', '425681', '913543', '753804', '416655', '879546', '405171', '866426', '758573', '925375', '655079', '332689', '593124', '961609', '216166', '095789']"
2024-02-01,607063,"['454', '943']","['544', '591']",09,"['607062', '607064']","['166521', '376456', '779424', '808878', '851911']","['053669', '087418', '113069', '516593', '535443', '545456', '678876', '697943', '772652', '831569']","['011437', '090487', '185741', '255118', '426517', '515514', '572213', '656613', '737293', '873398', '030830', '093784', '198247', '275169', '430848', '520713', '587566', '676743', '783463', '880249', '037206', '117545', '206816', '331311', '471627', '538407', '609558', '685863', '804429', '901593', '058236', '156102', '226331', '377270', '477468', '547540', '634141', '693752', '826063', '914433', '068121', '166931', '254032', '421727', '491440', '569388', '644810', '703523', '854418', '974231']","['018319', '135643', '228155', '295214', '415333', '612248', '689244', '753839', '806005', '883034', '068966', '138365', '235734', '300996', '428102', '615358', '697599', '757312', '806863', '896872', '077800', '146086', '237210', '318668', '428347', '628800', '707558', '762505', '816255', '901032', '102461', '157589', '253134', '323652', '486337', '628966', '709475', '763491', '821585', '903203', '102554', '175489', '253246', '330957', '506213', '638807', '712435', '782185', '827213', '949607', '105442', '179712', '260793', '337451', '524558', '645693', '736618', '787397', '831270', '953743', '112169', '183946', '273458', '347262', '534711', '645769', '740915', '788018', '835260', '960133', '121357', '226283', '277134', '371062', '550513', '673741', '742620', '791261', '850809', '962169', '133415', '227677', '286895', '374634', '573490', '674744', '743328', '792696', '860217', '976303', '134084', '227701', '292246', '400000', '610485', '675167', '746170', '803654', '876294', '990230']"
2024-01-17,105979,"['429', '931']","['196', '635']",61,"['105978', '105980']","['366635', '384901', '451046', '737099', '895860']","['256000', '331010', '393560', '462981', '603376', '877689', '908654', '917144', '926853', '952140']","['001849', '145829', '221194', '348659', '443034', '521485', '566915', '630677', '709231', '855710', '072938', '164205', '264439', '378701', '444350', '523776', '570088', '647513', '740408', '951812', '102563', '173399', '279938', '407444', '459593', '528301', '589723', '658531', '767293', '979504', '123701', '190307', '302768', '437931', '482266', '533695', '622322', '688507', '775974', '982583', '136850', '198599', '339746', '438929', '490771', '540216', '629599', '695472', '799973', '985733']","['011521', '143041', '213367', '325784', '406083', '463597', '571897', '672750', '785107', '912899', '014538', '143813', '220113', '332490', '411270', '469825', '595376', '674409', '826878', '913993', '060316', '145712', '242064', '339085', '415321', '471314', '598601', '715440', '847103', '927603', '075712', '160195', '242354', '340948', '434154', '478465', '611311', '717769', '853126', '928876', '079252', '160293', '244844', '354916', '434879', '482894', '617292', '733377', '870233', '968177', '079858', '160472', '254223', '357344', '437043', '504395', '626084', '759958', '870954', '972651', '106271', '183238', '266848', '379748', '452892', '530065', '637039', '761352', '871312', '974701', '107539', '191447', '274002', '391922', '453016', '552810', '642119', '764829', '872778', '978944', '108601', '195006', '277544', '393639', '455566', '561075', '647068', '775404', '908319', '987077', '128632', '195687', '318163', '403314', '456707', '568641', '656085', '782471', '908990', '999690']"
2023-12-30,625544,"['600', '648']","['882', '456']",89,"['625543', '625545']","['022784', '347586', '937983', '986207', '997718']","['096489', '109948', '168613', '202356', '324753', '347959', '539834', '917331', '965361', '999781']","['017093', '112716', '264505', '303103', '323314', '391016', '544533', '639890', '781132', '862230', '031586', '196276', '270324', '307357', '333302', '436978', '555224', '653552', '831473', '929098', '061387', '213908', '285584', '308103', '335395', '487351', '599501', '687929', '834659', '952741', '062770', '216574', '291080', '318481', '339754', '500526', '622585', '689101', '846933', '952872', '087425', '218826', '294950', '322271', '353244', '514153', '638360', '740199', '858164', '973614']","['002987', '066303', '129847', '216238', '365009', '454976', '548605', '680872', '857282', '939294', '006418', '068280', '150028', '217586', '371548', '455558', '552463', '694526', '887270', '940187', '010160', '085953', '151247', '227367', '375285', '463329', '570402', '718011', '900077', '943945', '012060', '086608', '178923', '248471', '381221', '470513', '572947', '766184', '910138', '946096', '020270', '090084', '182147', '270595', '381644', '478440', '587456', '768814', '910562', '949493', '023257', '101839', '201844', '315908', '388050', '481143', '587873', '793216', '916807', '963586', '030189', '109018', '206981', '321021', '391331', '508235', '604020', '815537', '922937', '977007', '037190', '114828', '207878', '323109', '422045', '527162', '622745', '817142', '927622', '978679', '048395', '121142', '208776', '324430', '428073', '539471', '647640', '818211', '930152', '980376', '051040', '126498', '210659', '341258', '454119', '547674', '665273', '856211', '938439', '986235']"
2023-12-16,356757,"['058', '410']","['584', '964']",85,"['356756', '356758']","['095941', '173448', '752506', '830864', '979994']","['005819', '013187', '081787', '087303', '353611', '382822', '543436', '617861', '630453', '663106']","['011902', '071436', '235170', '320427', '435258', '545099', '640501', '744339', '846977', '937121', '041383', '153129', '252443', '324000', '444027', '561379', '646488', '792942', '860739', '937386', '047534', '166237', '277323', '333802', '478644', '609199', '656804', '806692', '870644', '938323', '050179', '187518', '280683', '386891', '482864', '627849', '660598', '811012', '905532', '955234', '060166', '188993', '307501', '420104', '515621', '639977', '661857', '841869', '923712', '966800']","['002377', '133426', '217439', '336686', '385322', '491843', '614250', '714853', '828723', '900592', '030693', '144207', '224026', '337500', '406383', '502430', '619518', '748059', '832091', '908360', '051463', '159372', '225076', '344359', '420618', '522224', '630139', '764356', '834390', '926347', '062149', '161185', '225490', '347784', '423096', '530777', '631855', '788332', '840557', '927499', '064061', '162277', '235425', '361338', '433398', '550089', '646283', '792985', '854312', '939325', '082091', '178023', '249642', '364965', '445044', '565526', '648440', '798174', '859126', '945611', '083813', '181500', '270671', '365124', '455922', '578321', '676829', '800831', '863269', '948383', '086606', '184917', '282814', '368149', '465206', '580421', '683776', '808280', '865058', '951173', '102904', '198052', '307171', '373115', '468219', '605780', '711756', '811138', '878690', '964284', '104455', '211353', '319334', '373728', '479926', '609156', '713945', '823347', '898264', '983414']"
2023-12-01,251097,"['055', '265']","['092', '280']",91,"['251096', '251098']","['054844', '177516', '230813', '502601', '916948']","['064634', '282076', '362010', '460063', '623688', '626587', '650826', '730026', '884036', '951195']","['048096', '159848', '183744', '301230', '420991', '497807', '639997', '690449', '813090', '858396', '097899', '170223', '189015', '353802', '471062', '524455', '664910', '720670', '815630', '912372', '109316', '171765', '229653', '355447', '471372', '537979', '674528', '789540', '820388', '919126', '116902', '178707', '284659', '357606', '488843', '546160', '681802', '802465', '850877', '975525', '126322', '182904', '291632', '394924', '496443', '622332', '682002', '806519', '858164', '993959']","['009597', '080052', '140857', '269835', '346683', '431640', '552168', '652652', '751807', '891565', '016990', '080824', '158652', '276873', '346730', '472466', '565123', '677531', '766711', '892314', '018046', '090794', '165124', '280197', '348670', '475538', '574790', '685378', '779411', '904126', '033750', '094405', '165625', '282123', '364216', '478453', '575935', '701871', '832007', '907392', '036813', '110442', '191700', '292065', '365316', '488681', '594959', '704552', '838374', '926191', '051044', '111321', '197329', '304813', '365665', '491398', '602493', '712419', '838947', '927564', '062265', '116040', '198687', '319675', '385976', '518092', '622375', '717444', '843841', '936528', '064349', '119552', '199575', '333834', '387757', '537023', '629644', '728251', '861915', '960363', '070311', '129560', '228006', '337557', '400235', '538008', '635872', '745758', '861937', '998242', '072025', '132622', '229226', '345832', '404652', '542357', '648026', '746565', '863212', '998841']"
2023-11-16,557990,"['346', '412']","['778', '961']",14,"['557989', '557991']","['053770', '090865', '294732', '814503', '890181']","['301309', '509749', '512903', '572983', '638418', '687981', '788239', '793605', '923544', '992823']","['026550', '133908', '215310', '291405', '341888', '410849', '519191', '663779', '764414', '893920', '056489', '141723', '229547', '304325', '370249', '448293', '520008', '688103', '770075', '899849', '099233', '170841', '247663', '311255', '388287', '464333', '553800', '691867', '793102', '920326', '102360', '180925', '273740', '320174', '399353', '481642', '570247', '742320', '814695', '921003', '103409', '210806', '283220', '337800', '408963', '514363', '586543', '760711', '816870', '973302']","['002189', '106336', '232338', '332916', '408035', '516318', '623615', '721713', '840797', '940429', '023072', '110190', '249269', '335344', '415307', '536552', '630420', '723140', '844839', '940710', '026037', '112731', '263520', '344981', '430481', '553977', '636670', '732900', '863921', '942966', '036191', '129881', '266266', '369953', '464203', '556835', '640877', '743663', '865649', '943843', '043079', '130163', '270846', '378887', '466776', '568454', '642511', '744360', '879177', '971855', '056599', '149055', '278124', '382720', '470372', '570163', '669917', '748174', '880697', '977611', '057203', '150481', '281766', '385332', '488958', '570317', '670984', '754531', '881032', '982015', '067428', '178985', '296240', '386993', '501910', '571300', '673745', '778391', '914576', '984093', '083781', '201577', '309525', '391591', '509727', '595236', '686235', '822452', '923153', '991957', '101494', '214042', '326731', '405247', '511653', '609311', '707213', '828509', '930374', '994734']"
2023-11-01,743951,"['335', '913']","['019', '349']",63,"['743950', '743952']","['128241', '162345', '246290', '327432', '867548']","['037046', '091401', '145208', '295363', '344560', '434783', '499524', '605523', '792711', '895622']","['002011', '147221', '270028', '384292', '466056', '508401', '565298', '651940', '715262', '886794', '057149', '155383', '330856', '401664', '466363', '510980', '585010', '671863', '730787', '892805', '060081', '164666', '339925', '428811', '468859', '525891', '602110', '677952', '835006', '969188', '082690', '216717', '354676', '429047', '499762', '533855', '609844', '680057', '849936', '991029', '122047', '248062', '373332', '451511', '502460', '562118', '639584', '701714', '852737', '999847']","['001099', '126208', '231792', '390232', '469782', '535948', '633603', '728929', '844135', '921639', '009621', '145050', '233107', '394341', '470851', '542860', '635563', '733970', '844945', '927051', '009866', '146673', '241220', '402846', '481883', '560624', '637674', '740833', '847284', '928505', '052713', '170607', '247897', '412840', '496065', '575153', '649749', '760809', '855118', '936338', '053322', '187280', '254594', '413163', '498602', '580103', '657988', '762991', '877072', '943163', '059751', '194685', '308590', '413783', '500847', '580556', '670691', '768482', '882961', '948724', '063528', '196529', '316782', '426001', '518951', '583385', '697447', '786176', '905712', '950382', '077848', '199165', '331268', '445846', '520928', '585348', '703217', '795278', '911630', '969131', '089061', '214551', '335145', '468521', '529519', '613450', '718443', '814108', '913184', '983068', '116566', '217474', '354638', '468940', '529930', '628117', '725736', '822694', '917985', '989657']"
2023-10-16,931446,"['167', '398']","['272', '970']",44,"['931445', '931447']","['213640', '431314', '456735', '699570', '723720']","['129501', '206593', '310729', '346472', '444778', '481230', '487467', '547106', '796880', '889472']","['052817', '161063', '268457', '359746', '473286', '511546', '617064', '708401', '860008', '919117', '088290', '189336', '315985', '390200', '476681', '545882', '627125', '766021', '890589', '937109', '096432', '206456', '316481', '398721', '483150', '570843', '662473', '812922', '895128', '937619', '118732', '207566', '319415', '438137', '483805', '584203', '663504', '837579', '904095', '963042', '124623', '236117', '338541', '444561', '498689', '608753', '671986', '838092', '915624', '990694']","['001438', '110160', '196440', '285107', '388570', '470261', '547155', '656902', '739475', '895323', '020518', '113947', '198343', '292266', '389370', '472910', '548493', '659934', '740246', '905013', '025426', '128054', '200184', '314202', '407555', '473915', '552669', '672030', '740568', '920238', '026759', '142430', '204586', '316996', '421170', '477804', '563076', '682789', '758304', '956981', '034126', '153392', '231971', '329310', '430637', '478551', '569267', '697498', '777327', '964361', '040939', '159965', '243369', '332266', '434164', '486459', '579121', '711500', '784182', '969200', '063006', '162371', '244062', '338537', '441242', '492183', '580049', '714395', '812848', '972813', '075315', '170539', '259608', '341238', '455190', '507098', '600676', '714879', '872959', '978816', '100975', '185813', '262754', '351203', '458002', '531940', '602851', '726264', '885420', '986059', '106822', '192730', '264437', '363893', '465370', '545508', '624669', '732630', '892681', '988630']"
